id,viral_load,virus,family,day
185Fx253M_I_1,0.811895127,I,185Fx253M,18/08/16
185Fx253M_M_1,-12.444088,M,185Fx253M,11/08/16
185Fx253M_M_2,-11.18506703,M,185Fx253M,16/08/16
185Fx254M_I_1,1.245311744,I,185Fx254M,09/08/16
185Fx254M_I_2,-0.320358142,I,185Fx254M,09/08/16
185Fx46M_M_1,-11.13319528,M,185Fx46M,01/09/16
185Fx46M_M_2,-9.868872795,M,185Fx46M,01/09/16
185Fx46M_O_1,-11.45772097,O,185Fx46M,07/09/16
185Fx51M_M_1,-12.70589419,M,185Fx51M,13/09/16
185Fx51M_M_2,-9.64349142,M,185Fx51M,20/09/16
185Fx60M_I_1,0.98005134,I,185Fx60M,23/08/16
185Fx60M_M_1,-10.96163491,M,185Fx60M,25/08/16
185Fx60M_M_2,-10.61783413,M,185Fx60M,06/09/16
186Fx1257M_I_1,-0.297636471,I,186Fx1257M,18/08/16
187Fx138M_I_2,0.116099437,I,187Fx138M,18/08/16
187Fx138M_M_1,-10.49462656,M,187Fx138M,01/09/16
187Fx158M_I_1,-2.642139033,I,187Fx158M,18/08/16
187Fx239M_I_1,-1.091790213,I,187Fx239M,09/08/16
187Fx70M_M_1,-11.417849,M,187Fx70M,01/09/16
187Fx70M_M_2,-10.91649894,M,187Fx70M,01/09/16
187Fx70M_O_1,-12.08164255,O,187Fx70M,07/09/16
187Fx70M_O_2,-9.018612085,O,187Fx70M,14/09/16
18Fx119M_I_1,-0.011857654,I,18Fx119M,23/08/16
18Fx119M_I_2,-0.442310238,I,18Fx119M,02/09/16
18Fx119M_O_1,-9.741978133,O,18Fx119M,24/08/16
18Fx119M_O_2,-10.81452975,O,18Fx119M,31/08/16
18Fx166M_M_1,-11.91585058,M,18Fx166M,16/08/16
18Fx166M_M_2,-8.065210042,M,18Fx166M,25/08/16
18Fx166M_O_1,-10.9654976,O,18Fx166M,17/08/16
190Fx127M_I_2,-2.036869243,I,190Fx127M,02/09/16
190Fx127M_M_1,-9.480741423,M,190Fx127M,06/09/16
190Fx127M_O_1,-10.19442069,O,190Fx127M,24/08/16
190Fx127M_O_2,-11.01763209,O,190Fx127M,31/08/16
190Fx128M_I_1,-1.08844281,I,190Fx128M,23/08/16
190Fx16M_M_1,-9.076246718,M,190Fx16M,16/08/16
